time,lon,lat,depth,mag
2023-12-26T23:43:49.317000Z,138.2459,33.822,272.88,4.4
2023-12-26T22:53:57.739000Z,142.2525,41.9589,62.994,4.7
2023-12-26T22:38:35.351000Z,128.6231,26.0895,10.0,4.0
2023-12-26T22:05:37.895000Z,-175.3421,51.4028,35.0,2.6
2023-12-26T21:51:15.871000Z,-175.3627,51.3898,35.0,2.6
2023-12-26T20:31:56.475000Z,136.8122,-1.1965,23.324,4.4
2023-12-26T19:19:26.870000Z,-166.0295,54.125667,6.32,0.17
2023-12-26T19:10:22.475000Z,131.803,42.7773,522.98,4.6
2023-12-26T18:25:23.401000Z,144.7912,19.263,421.1,3.8
2023-12-26T17:11:22.134000Z,-166.945,53.226,55.2,1.8
2023-12-26T17:09:50.604000Z,117.374,-11.4858,10.0,4.4
2023-12-26T15:24:40.980000Z,-166.629,53.897,3.55,0.06
2023-12-26T15:21:22.510000Z,-166.040167,54.126833,5.45,0.11
2023-12-26T15:19:16.680000Z,-166.0425,54.125,6.44,0.85
2023-12-26T15:07:26.741000Z,-167.5625,52.7474,39.5,1.9
2023-12-26T15:06:18.936000Z,139.7096,31.5109,10.0,4.8
2023-12-26T14:17:07.036000Z,-177.736,51.4672,49.5,2.1
2023-12-26T13:11:43.180000Z,145.3057,-5.2714,87.171,5.1
2023-12-26T11:54:02.055000Z,-166.3179,53.5999,73.174,2.4
2023-12-26T11:48:32.005000Z,-169.6268,52.0864,14.516,2.9
2023-12-26T11:39:23.602000Z,125.8117,2.0,9.696,4.2
2023-12-26T11:37:24.776000Z,-169.5698,51.9287,10.0,3.8
2023-12-26T11:12:50.820000Z,124.905,-9.7104,10.0,4.5
2023-12-26T10:29:45.255000Z,-167.3396,53.5321,75.8,2.0
2023-12-26T10:20:27.508000Z,126.999,8.4582,61.177,4.8
2023-12-26T09:11:35.017000Z,-166.1936,52.169,10.0,2.6
2023-12-26T09:00:11.127000Z,178.5966,50.1212,10.0,3.1
2023-12-26T07:49:41.867000Z,-169.3518,66.3382,14.2,1.9
2023-12-26T06:42:37.211000Z,126.6495,4.0237,47.429,4.7
2023-12-26T06:30:57.595000Z,138.5611,30.4391,430.798,4.9
2023-12-26T06:24:51.426000Z,-178.4033,51.3817,24.8,2.3
2023-12-26T06:23:56.873000Z,177.2251,50.2379,10.0,3.3
2023-12-26T03:42:51.774000Z,126.5972,8.5556,89.342,4.1
2023-12-26T03:31:38.887000Z,118.2004,-8.583,141.603,4.6
2023-12-26T02:52:14.414000Z,-179.4016,50.9256,9.1,2.4
2023-12-26T01:49:01.333000Z,-178.5894,51.1343,33.496,2.7
2023-12-26T01:23:31.880000Z,-177.494333,51.777667,1.58,1.7
2023-12-26T01:10:26.131000Z,145.8955,13.1191,10.0,4.4
2023-12-26T00:47:10.863000Z,-168.0542,52.4196,10.0,3.1
2023-12-26T00:35:41.760000Z,127.0955,0.6402,67.704,4.4
2023-12-26T00:19:35.089000Z,-173.5429,51.3837,35.0,2.3
2023-12-25T23:53:27.068000Z,94.522,23.139,114.245,4.1
2023-12-25T23:03:56.507000Z,76.7782,34.7111,34.705,4.6
2023-12-25T22:47:36.710000Z,-177.100667,51.947167,6.74,0.02
2023-12-25T22:33:36.058000Z,-175.2765,51.3725,27.798,2.7
2023-12-25T22:16:27.881000Z,127.1231,8.5093,10.0,4.5
2023-12-25T20:19:48.820000Z,145.977,17.2304,145.487,3.8
2023-12-25T17:41:28.403000Z,170.7475,53.89,19.322,3.6
2023-12-25T17:16:42.640000Z,-177.243,51.9555,5.56,0.5
2023-12-25T17:09:28.720000Z,-177.117667,51.906167,6.86,-0.25
2023-12-25T16:30:44.510000Z,-176.970167,51.887,17.2,0.86
2023-12-25T16:13:24.590000Z,-177.1585,51.935833,9.74,0.46
2023-12-25T15:55:51.960000Z,-177.240167,51.947,7.05,0.93
2023-12-25T15:00:00.020000Z,-178.813667,51.793667,7.35,0.44
2023-12-25T14:45:38.593000Z,126.3155,8.4007,94.234,4.5
2023-12-25T14:20:59.183000Z,-166.8715,53.2011,45.6,2.2
2023-12-25T13:50:34.160000Z,-177.171167,51.905667,7.62,-0.64
2023-12-25T10:24:54.707000Z,-173.7091,51.8957,10.0,2.4
2023-12-25T10:14:34.980000Z,170.7034,53.9181,10.0,4.6
2023-12-25T09:51:41.460000Z,-177.494667,51.768,2.4,0.65
2023-12-25T09:26:02.330000Z,179.7596,51.6405,75.5,2.3
2023-12-25T09:17:53.011000Z,-177.4949,51.8088,13.2,1.7
2023-12-25T08:50:14.540000Z,-177.485667,51.738167,12.51,0.43
2023-12-25T08:01:50.198000Z,-175.3792,51.3759,25.6,2.0
2023-12-25T07:46:05.849000Z,-175.4241,51.2518,27.5,3.3
2023-12-25T07:42:39.877000Z,178.741,51.2202,18.1,2.0
2023-12-25T07:41:15.770000Z,-177.228167,51.947333,10.69,0.06
2023-12-25T07:30:49.940000Z,-177.0471,51.2802,26.3,2.5
2023-12-25T06:47:49.630000Z,179.605667,51.883167,9.23,1.32
2023-12-25T06:39:31.670000Z,-176.135333,52.078833,-1.76,-0.03
2023-12-25T06:30:49.302000Z,123.2042,0.3557,232.745,4.6
2023-12-25T06:14:54.338000Z,-174.3733,52.014,60.2,1.8
2023-12-25T04:49:01.152000Z,137.8227,33.1337,331.236,5.0
2023-12-25T04:38:26.947000Z,-175.3322,51.378,25.6,1.9
2023-12-25T04:31:42.099000Z,147.1088,-6.3069,35.0,4.2
2023-12-25T04:30:24.510000Z,146.8687,-6.4548,59.464,4.0
2023-12-25T03:21:05.658000Z,126.5921,9.2914,35.0,4.2
2023-12-25T03:20:32.262000Z,147.9208,-5.7932,119.313,4.5
2023-12-25T03:18:06.435000Z,121.4309,-0.7214,10.0,4.4
2023-12-25T02:22:57.692000Z,-176.105,51.4411,25.6,1.8
2023-12-25T01:44:17.241000Z,129.775,-6.1842,138.698,4.3
2023-12-25T00:10:29.813000Z,127.3901,8.7511,10.0,4.4
2023-12-25T00:01:18.410000Z,-178.2146,51.456,21.2,2.0
2023-12-24T23:59:54.370000Z,-177.493667,51.763333,1.87,0.69
2023-12-24T23:25:32.870000Z,-177.115333,52.027333,0.25,1.93
2023-12-24T23:16:49.608000Z,-168.2494,53.2398,79.4,2.1
2023-12-24T22:31:03.839000Z,-177.088,51.627,49.5,1.5
2023-12-24T21:08:18.482000Z,-174.1841,51.9325,64.6,1.9
2023-12-24T20:31:54.297000Z,126.0217,5.0747,109.751,4.9
2023-12-24T19:54:54.451000Z,-177.4964,51.8008,8.7,1.4
2023-12-24T19:51:41.992000Z,-178.1385,51.1444,21.2,1.9
2023-12-24T18:45:20.041000Z,145.525,18.5319,216.208,4.2
2023-12-24T18:42:43.920000Z,160.8894,52.85,25.692,5.0
2023-12-24T18:38:26.798000Z,147.4546,15.0557,10.0,4.4
2023-12-24T16:47:48.859000Z,-178.2212,51.4734,20.4,1.7
2023-12-24T16:01:37.887000Z,-173.9539,50.437,35.0,2.7
2023-12-24T15:13:55.691000Z,-178.4494,51.6336,8.4,1.9
2023-12-24T15:10:05.720000Z,-179.9577,50.1925,10.0,3.1
2023-12-24T14:56:41.422000Z,-175.4698,52.0531,95.4,2.1
2023-12-24T14:02:19.803000Z,122.7849,24.7925,35.0,4.0
2023-12-24T13:59:28.095000Z,-174.908,50.1721,10.0,2.7
2023-12-24T13:27:27.676000Z,122.6489,24.8468,35.0,4.4
2023-12-24T13:22:14.203000Z,122.7532,24.8646,35.0,4.6
2023-12-24T13:11:35.908000Z,122.5273,24.9365,37.728,4.1
2023-12-24T12:44:30.387000Z,-173.6898,52.2564,179.013,3.1
2023-12-24T11:55:30.075000Z,143.1013,42.907,117.667,4.4
2023-12-24T11:46:29.053000Z,142.7466,32.7236,10.0,4.9
2023-12-24T10:43:44.155000Z,145.7344,-6.2564,113.916,4.3
2023-12-24T08:51:57.825000Z,126.3708,8.4638,64.772,4.7
2023-12-24T08:20:38.430000Z,-177.7902,51.5592,68.994,2.8
2023-12-24T07:32:30.855000Z,155.0433,-9.8578,10.0,4.2
